Country	Population	Rank	Growth
China	1393783836	1	0.59
India	1267401849	2	1.22
USA	322583006	3	0.79
Indonesia	252812245	4	1.18
Brazil	202033670	5	0.83
Pakistan	185132926	6	1.64
Nigeria	178516904	7	2.82
Bangladesh	158512570	8	1.22
Russia	142467651	9	-0.26
Japan	126999808	10	-0.11
Mexico	123799215	11	1.2
Philippines	100096496	12	1.73
Ethiopia	96506031	13	2.56
Vietnam	92547959	14	0.95
Egypt	83386739	15	1.62
Germany	82652256	16	-0.09
Iran	78470222	17	1.32
Turkey	75837020	18	1.21
Congo	69360118	19	2.73
Thailand	67222972	20	0.32
France	64641279	21	0.54
UK	63489234	22	0.56
Italy	61070224	23	0.13
Burma	53718958	24	0.86
South Africa	53139528	25	0.69
