Country 	Population 	Rank 	Growth 	Projected1YearPop
China 	1393783836 	1 	0.59 	1402007161
India 	1267401849 	2 	1.22 	1282864152
USA 	322583006 	3 	0.79 	325131412
Indonesia 	252812245 	4 	1.18 	255795429
Brazil 	202033670 	5 	0.83 	203710549
Pakistan 	185132926 	6 	1.64 	188169106
Nigeria 	178516904 	7 	2.82 	183551081
Bangladesh 	158512570 	8 	1.22 	160446423
Russia 	142467651 	9 	-0.26 	142097235
Japan 	126999808 	10 	-0.11 	126860108
Mexico 	123799215 	11 	1.2 	125284806
Philippines 	100096496 	12 	1.73 	101828165
Ethiopia 	96506031 	13 	2.56 	98976585
Vietnam 	92547959 	14 	0.95 	93427165
Egypt 	83386739 	15 	1.62 	84737604
Germany 	82652256 	16 	-0.09 	82577869
Iran 	78470222 	17 	1.32 	79506029
Turkey 	75837020 	18 	1.21 	76754648
Congo 	69360118 	19 	2.73 	71253649
Thailand 	67222972 	20 	0.32 	67438086
France 	64641279 	21 	0.54 	64990342
UK 	63489234 	22 	0.56 	63844774
Italy 	61070224 	23 	0.13 	61149615
Burma 	53718958 	24 	0.86 	54180941
South Africa 	53139528 	25 	0.69 	53506191
